Wall time,Step,Value
1677012947.042095,17800,-0.32499998807907104
1677013215.54974,17900,-0.289000004529953
1677013486.523038,18000,-0.19900000095367432
1677015090.98033,18300,-0.3970000147819519
1677015361.928291,18400,-0.19900000095367432
1677015631.805424,18500,-0.23499999940395355
1677015900.159338,18600,-0.2529999911785126
1677016711.608897,18900,-0.2619999945163727
1677017250.729446,19100,-0.2529999911785126
1677017521.1374,19200,-0.19900000095367432
1677017782.390405,19300,-0.4959999918937683
1677018046.367596,19400,-0.3610000014305115
1677018582.784589,19600,-0.2709999978542328
1677018853.512571,19700,-0.19900000095367432
1677019116.521142,19800,-0.4059999883174896
1677019363.016388,19900,-0.7569999694824219
1677020653.223248,20100,-0.19900000095367432
1677020907.621287,20200,-0.46000000834465027
1677021172.947004,20300,-0.2709999978542328
1677021432.419247,20400,-0.3880000114440918
1677021693.532013,20500,-0.42399999499320984
1677022227.94502,20700,-0.19900000095367432
1677022760.25117,20900,-0.19900000095367432
1677023006.369597,21000,-0.6850000023841858
1677023535.942295,21200,-0.22600001096725464
1677023808.34074,21300,-0.19900000095367432
1677024079.171684,21400,-0.19900000095367432
1677024346.05182,21500,-0.21700000762939453
1677024607.168807,21600,-0.3790000081062317
1677025133.05554,21800,-0.2980000078678131
1677025398.941849,21900,-0.24400000274181366
1677025666.86552,22000,-0.21700000762939453
1677026999.384831,22230,-0.24400000274181366
1677027539.942235,22430,-0.19900000095367432
1677027804.350166,22530,-0.34299999475479126
1677028064.537628,22630,-0.43299999833106995
1677028323.674807,22730,-0.45100000500679016
1677028596.82573,22830,-0.19900000095367432
1677028860.146171,22930,-0.4059999883174896
1677029129.015788,23030,-0.289000004529953
1677029390.869335,23130,-0.3970000147819519
1677029646.225601,23205,0.800000011920929
1677030180.86545,23405,-0.289000004529953
1677030446.918552,23505,-0.2980000078678131
1677030938.04278,23705,-0.765999972820282
1677031201.583517,23805,-0.34299999475479126
1677031341.727313,23862,0.9440000057220459
1677031605.3128,23962,-0.35199999809265137
1677032660.19922,24100,-0.19900000095367432
1677032927.581938,24200,-0.2709999978542328
1677033708.381421,24500,-0.9369999766349792
1677033982.756821,24600,-0.19900000095367432
1677034254.805213,24700,-0.19900000095367432
1677034516.810148,24800,-0.44200000166893005
1677035018.532574,25000,-0.7120000123977661
1677035263.953667,25100,-0.8740000128746033
1677035511.475054,25200,-0.8740000128746033
1677035776.865959,25300,-0.42399999499320984
1677036301.981164,25500,-0.45100000500679016
1677036567.622028,25600,-0.35199999809265137
1677038741.404218,26100,-0.19900000095367432
1677039270.180781,26300,-0.43299999833106995
1677039543.57188,26400,-0.22600001096725464
1677040068.935256,26600,-0.19900000095367432
1677040339.133746,26700,-0.22600001096725464
1677040611.351449,26800,-0.20800000429153442
1677040882.643297,26900,-0.2529999911785126
1677041408.008753,27100,-0.3160000145435333
1677041677.769325,27200,-0.24400000274181366
1677041949.21823,27300,-0.33399999141693115
1677042189.045166,27400,-1.0269999504089355
1677042454.567849,27500,-0.4059999883174896
1677042716.803759,27577,-0.0950000062584877
1677042861.829354,27641,-0.06400000303983688
1677043135.089956,27741,-0.19900000095367432
1677043668.449814,27941,-0.4059999883174896
1677044744.202889,28046,-0.046000003814697266
1677045279.11155,28246,-0.19900000095367432
1677045545.951429,28346,-0.3790000081062317
1677046605.546997,28746,-0.550000011920929
1677046879.227207,28846,-0.23499999940395355
1677047137.502664,28946,-0.5320000052452087
1677047378.811539,29046,-1.0089999437332153
1677047653.954183,29146,-0.19900000095367432
1677047928.852263,29246,-0.19900000095367432
1677049008.18793,29646,-0.19900000095367432
1677049280.155715,29746,-0.19900000095367432
1677049554.019449,29846,-0.22600001096725464
1677049823.174766,29946,-0.2980000078678131
1677050980.614512,30100,-0.2800000011920929
1677051254.145305,30200,-0.19900000095367432
1677051786.312039,30400,-0.2709999978542328
1677052061.162836,30500,-0.21700000762939453
1677052330.491877,30600,-0.289000004529953
1677052587.367836,30700,-0.550000011920929
1677052856.808089,30800,-0.2800000011920929
1677053126.657552,30900,-0.3070000112056732
1677053669.581383,31100,-0.24400000274181366
1677053933.416866,31200,-0.3970000147819519
1677054207.504585,31300,-0.19900000095367432
1677054479.446118,31400,-0.19900000095367432
1677054745.822773,31500,-0.33399999141693115
1677055292.721097,31700,-0.23499999940395355
1677056106.684291,32000,-0.24400000274181366
1677057445.063781,32165,-0.22600001096725464
1677057717.975582,32265,-0.20800000429153442
1677057989.395835,32365,-0.20800000429153442
1677058257.425177,32465,-0.33399999141693115
